parcel_number,matched,latitude,longitude,census_tract
212390800,True,40.056148273752,-75.236795512641,42101021900
583045900,True,40.133962921752,-75.014706486557,42101036501
401256500,True,39.928721642695,-75.235813933427,42101006400
401195300,True,39.926681824827,-75.234587491139,42101006600
362179000,True,39.937088837828,-75.192576121574,42101003300
492132500,True,40.031032097188,-75.136820293487,42101028200
212121100,True,40.032602356555,-75.218086585452,42101021300
571057600,True,40.061804965207,-75.025591652324,42101034702
405882646,True,39.903390629444,-75.251056215455,42101005500
642138900,True,40.04132764053,-75.040826500637,42101033101
502316300,True,40.069208190933,-75.164473177255,42101026301
152300743,True,39.971924450554,-75.183060396039,42101013602
406223800,True,39.916961739099,-75.237889318909,42101006000
881070692,True,39.987132031382,-75.156168790632,42101016702
12305000,True,39.928488418943,-75.158920251481,42101002802
172331800,True,40.044336620321,-75.154936857692,42101027901
202202050,True,39.975849583191,-75.152962644663,42101014600
61216400,True,39.963697080491,-75.205654072258,42101010600
252233800,True,39.989276431312,-75.110675463273,42101017900
652412202,True,40.047079835012,-74.992491343169,42101035100
191081800,True,39.984180150347,-75.135242022682,42101016200
652412201,True,40.047069499089,-74.992509027288,42101035100
406087100,True,39.919345365912,-75.23356814132,42101006200
122046200,True,40.044795988507,-75.159860922387,42101024700
332156700,True,40.013202843987,-75.10781825767,42101019100
112191900,True,40.006635987227,-75.154383400352,42101020101
81118400,True,39.945772025143,-75.170617143457,42101001204
422156100,True,40.027005479304,-75.130883057788,42101028600
632014900,True,40.08026960301,-75.074017214933,42101034200
365294100,True,39.936643862739,-75.172624471829,42101002200
221167600,True,40.054330529234,-75.180809911456,42101025300
31106400,True,39.957620537064,-75.244615849683,42101008301
482406800,True,39.93358882879,-75.196139792477,42101003600
888152732,True,39.971871261823,-75.18398910533,42101013602
171306400,True,40.050098879503,-75.151154882294,42101027700
581459000,True,40.085169428237,-75.028395411253,42101035500
183233500,True,39.979167263224,-75.134406170883,42101015700
453280600,True,39.99758035647,-75.074951200805,42101018300
403198809,True,39.924785737327,-75.243790002589,42101006400
181020980,True,39.968205253145,-75.133279724603,42101014300
551284500,True,40.033766834627,-75.050032303671,42101031501
172001115,True,40.031083156413,-75.14654750178,42101028100
282155600,True,39.996435011422,-75.182507771547,42101016902
661276900,True,40.068520233499,-74.985794883917,42101035301
213158800,True,40.031959020005,-75.20889812322,42101021200
888091968,True,39.962325527037,-75.171327291911,42101012502
313033400,True,39.978617842316,-75.128701591447,42101016002
152192210,True,39.967956663228,-75.175617484559,42101013601
381028700,True,39.997914407834,-75.17134177809,42101017202
71339710,True,39.995739498573,-75.12893377493,42101017602
314087900,True,39.985735445571,-75.126264717151,42101016100
551075100,True,40.032147360887,-75.058994950166,42101031600
301345100,True,39.939640679845,-75.172375621497,42101001900
551480600,True,40.036610211691,-75.043467373745,42101031501
591146500,True,40.05479793251,-75.158873024821,42101024900
57184160,True,39.966608657893,-75.142786231727,42101014201
372249000,True,39.993836639184,-75.150658625577,42101017400
888054558,True,39.946453384789,-75.151295104295,42101001001
21068810,True,39.937049885599,-75.155902555083,42101002400
663248500,True,40.0987210394,-74.96463922394,42101036303
353148615,True,40.053107060497,-75.088167627363,42101030700
441015000,True,39.961555326271,-75.224927998969,42101009300
521073300,True,39.984876029539,-75.230745387156,42101011900
212410268,True,40.067361020984,-75.249182851099,42101022000
651082600,True,40.034026032358,-75.031421046293,42101033000
888052380,True,39.95439716556,-75.146298670037,42101000102
611112000,True,40.047825787812,-75.128961877558,42101027000
43130900,True,39.972483395281,-75.236022791546,42101011200
222274300,True,40.067549798262,-75.179549281873,42101025500
182255700,True,39.974339428692,-75.143184707316,42101014400
888660360,True,40.088830584078,-74.974342232821,42101036202
432278400,True,40.009578749017,-75.140030239757,42101019800
12095300,True,39.930173604916,-75.158096739413,42101002801
871502020,True,39.931180279094,-75.16449268684,42101002900
621286800,True,40.034644480785,-75.068682134508,42101031700
61005130,True,39.961243825162,-75.21345736428,42101010500
502109700,True,40.068316550203,-75.164982339806,42101026200
888154172,True,39.967528559587,-75.167438531329,42101013500
452202100,True,40.0001370555,-75.09930131176,42101038200
593113900,True,40.04398310625,-75.182660020585,42101023800
211329610,True,40.022765958587,-75.213427810972,42101021000
888030558,True,39.953661357761,-75.156729613385,42101000200
571026700,True,40.056644781085,-75.032545227202,42101034702
871576700,True,40.069345195914,-75.157052791651,42101026302
102365100,True,40.054904068721,-75.155861343825,42101026500
502441500,True,40.067742721456,-75.179156686122,42101026100
888030320,True,39.943061283815,-75.145467647697,42101001002
531291500,True,40.037754408846,-75.083229676861,42101031102
392015300,True,39.924021696242,-75.153586996332,42101004201
51185800,True,39.944029382987,-75.152271760425,42101001001
871502030,True,39.93113705279,-75.164501586375,42101002900
551031300,True,40.031883043936,-75.061718907022,42101031600
611333400,True,40.047836445258,-75.123701348701,42101027100
888054579,True,39.946453384789,-75.151295104295,42101001001
513199300,True,39.94182231982,-75.232434644327,42101007200
121033100,True,40.029933654865,-75.162947172517,42101024500
151304500,True,39.971043523334,-75.181039725259,42101013602
641120700,True,40.041619378912,-75.051404636299,42101031502
342131000,True,39.982094172687,-75.244448414305,42101011400
572216800,True,40.062436081147,-75.007859083571,42101034803
403116100,True,39.927419415531,-75.237672645643,42101006400
123036700,True,40.027513407823,-75.161866833586,42101024400
888092828,True,39.949494831514,-75.170727100952,42101000805
