X,Y,objectid,tree_name,tree_dbh,year,loc_y,loc_x
-8369296.58095673,4857565.17171089,202,CERCIDIPHYLLUM JAPONICUM - KATSURA TREE,18,2024,39.94232059,-75.18266858
-8369229.32497321,4857526.68238188,203,CELTIS OCCIDENTALIS - HACKBERRY,10,2024,39.9420555,-75.18206441
-8368538.91262903,4856807.19489982,204,CLADRASTIS KENTUKEA - YELLOWWOOD,4,2024,39.93709997,-75.17586234
-8369337.86125722,4857311.51333684,205,NYSSA SYLVATICA - BLACKGUM,2,2024,39.94057354,-75.18303941
-8368912.65259637,4857514.4760985,206,PRUNUS SPECIES - OTHER CHERRY,8,2024,39.94197143,-75.1792197
-8368911.75698741,4857524.32930107,207,PRUNUS SPECIES - OTHER CHERRY,8,2024,39.94203929,-75.17921165
-8369420.6900058,4856815.91716389,208,PRUNUS SERRULATA - KWANZAN CHERRY,15,2024,39.93716005,-75.18378347
-8369023.25560734,4857475.52670397,209,PRUNUS SPECIES - OTHER CHERRY,3,2024,39.94170317,-75.18021326
-8368788.47735341,4857455.40918582,210,GLEDITSIA TRIACANTHOS - HONEYLOCUST,13,2024,39.94156461,-75.17810421
-8368681.04382561,4857420.82994424,211,ACER PLATANOIDES - NORWAY MAPLE,16,2024,39.94132645,-75.17713912
-8368672.69700506,4857419.21591228,212,GLEDITSIA TRIACANTHOS - HONEYLOCUST,8,2024,39.94131534,-75.17706414
-8368960.60238043,4857319.03332758,213,PYRUS CALLERYANA - CALLERY PEAR,9,2024,39.94062534,-75.17965044
-8369244.0609807,4857529.14146672,214,PYRUS CALLERYANA - CALLERY PEAR,12,2024,39.94207243,-75.18219679
-8368834.14214417,4857463.09139467,215,PYRUS CALLERYANA - CALLERY PEAR,8,2024,39.94161752,-75.17851443
-8368657.19023074,4857416.9556969,216,ACER CAMPESTRE - HEDGE MAPLE,6,2024,39.94129977,-75.17692484
-8368189.15867194,4856882.0398192,217,PRUNUS SPECIES - OTHER CHERRY,8,2024,39.93761549,-75.17272044
-8368302.62755845,4856900.8696415,218,ACER X FREEMANII - ARMSTRONG MAPLE,5,2024,39.93774518,-75.17373975
-8368291.9689647,4856899.25146502,219,GLEDITSIA TRIACANTHOS - HONEYLOCUST,5,2024,39.93773404,-75.173644
-8369126.97764687,4857451.28406216,220,PYRUS CALLERYANA - CALLERY PEAR,5,2024,39.9415362,-75.18114501
-8369126.61787361,4857460.34818988,221,PYRUS CALLERYANA - CALLERY PEAR,6,2024,39.94159863,-75.18114178
-8368902.48669488,4856832.97477846,222,CERCIS CANADENSIS - EASTERN REDBUD,5,2024,39.93727754,-75.17912838
-8368218.49508196,4856886.62931947,223,PRUNUS SERRULATA - KWANZAN CHERRY,9,2024,39.9376471,-75.17298398
-8367983.4922432,4856761.54937935,224,PRUNUS SERRULATA - KWANZAN CHERRY,14,2024,39.93678557,-75.17087291
-8368981.79859534,4857012.66125813,225,PRUNUS SPECIES - OTHER CHERRY,6,2024,39.93851517,-75.17984085
-8368059.06236209,4856784.95534326,226,PRUNUS SERRULATA - KWANZAN CHERRY,8,2024,39.93694679,-75.17155177
-8368012.1524345,4856766.33376202,227,MALUS SPECIES - OTHER CRABAPPLE,4,2024,39.93681853,-75.17113037
